trial_index,repeat_index,id,base_case_id,family,tool_name,forge_status,attempts,verification_cases,cold_forge_success,cold_example_success,warm_success,warm_reuse,warm_path,search_score,failure_type,cold_latency_ms,warm_latency_ms,forge_log_path
1,1,agent_demo_01_text_reverse__r01,agent_demo_01_text_reverse,string,reverse_string,success,1,3,True,True,True,True,fast,0.8118,,48931.73179999576,3588.035499997204,data\forge_logs\liu_xinquan_real_agent_50\cf0f68ad3c274e47b88d24bbcbe4d86f.json
2,1,agent_demo_02_vowel_count__r01,agent_demo_02_vowel_count,string,count_vowels,success,1,3,True,False,True,True,fast,0.8077,,32052.356000000145,9714.36260000337,data\forge_logs\liu_xinquan_real_agent_50\9825af22d7914faa8c08d960bb5e592d.json
3,1,agent_demo_03_sort_numbers__r01,agent_demo_03_sort_numbers,list,sort_numbers_ascending,success,1,3,True,False,True,True,fast,0.8095,,50553.381000005174,10577.931799998623,data\forge_logs\liu_xinquan_real_agent_50\822556d12a324386bfed5592cbd930ee.json
4,1,agent_demo_04_deduplicate__r01,agent_demo_04_deduplicate,list,deduplicate_preserve_order,success,1,3,True,False,True,True,fast,0.8083,,58019.39120001043,7316.985199999181,data\forge_logs\liu_xinquan_real_agent_50\9fb204aa21b44ac198fdcf13979f0dba.json
5,1,agent_demo_05_json_rows_filter__r01,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,success,1,3,True,False,True,True,fast,0.8071,,87956.67660000618,18345.080200000666,data\forge_logs\liu_xinquan_real_agent_50\27ec05d6da8e4fb59db42c9f8f048a07.json
6,1,agent_demo_06_csv_text__r01,agent_demo_06_csv_text,csv_text,join_column_above_threshold_from_csv,success,1,3,True,True,True,True,fast,0.8077,,75679.32549999387,16601.215299990145,data\forge_logs\liu_xinquan_real_agent_50\3873e19b47b74ccfa8c0fcefcc46cf0d.json
7,1,agent_demo_07_jsonl_sum__r01,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,success,1,3,True,False,False,False,slow,0.0077,,66214.20259999286,114473.3763999975,data\forge_logs\liu_xinquan_real_agent_50\667058610fb74c4e920ed9cd1704fab6.json
8,1,agent_demo_08_moving_average__r01,agent_demo_08_moving_average,moving_average,moving_average,success,1,3,True,True,True,True,fast,0.8091,,85762.6767000038,8531.82440000819,data\forge_logs\liu_xinquan_real_agent_50\a12a921bd9d94d66ae9827dd5ebd001e.json
9,1,agent_demo_09_category_aggregation__r01,agent_demo_09_category_aggregation,category_aggregation,sum_amounts_by_category,success,2,3,True,False,True,True,fast,0.8077,runtime,112177.60439999984,17596.187599992845,data\forge_logs\liu_xinquan_real_agent_50\a7768e16de1040e9b56e1c70e12ce4f1.json
10,1,agent_demo_10_url_query_keys__r01,agent_demo_10_url_query_keys,url,get_sorted_query_param_names,success,1,3,True,True,True,True,fast,0.8087,,56436.05380000372,7845.99739999976,data\forge_logs\liu_xinquan_real_agent_50\170c07576ea644579a033767362a1ad1.json
