trial_index,repeat_index,base_case_id,family,tool_name,cold_success,warm_success,warm_reused_existing_tool,cold_latency_s,warm_latency_s,attempts,failure_type
1,1,agent_demo_01_text_reverse,string,reverse_string,True,True,True,48.932,3.588,1,
2,1,agent_demo_02_vowel_count,string,count_vowels,True,True,True,32.052,9.714,1,
3,1,agent_demo_03_sort_numbers,list,sort_numbers_ascending,True,True,True,50.553,10.578,1,
4,1,agent_demo_04_deduplicate,list,deduplicate_preserve_order,True,True,True,58.019,7.317,1,
5,1,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,True,True,True,87.957,18.345,1,
6,1,agent_demo_06_csv_text,csv_text,join_column_above_threshold_from_csv,True,True,True,75.679,16.601,1,
7,1,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,True,False,False,66.214,114.473,1,
8,1,agent_demo_08_moving_average,moving_average,moving_average,True,True,True,85.763,8.532,1,
9,1,agent_demo_09_category_aggregation,category_aggregation,sum_amounts_by_category,True,True,True,112.178,17.596,2,runtime
10,1,agent_demo_10_url_query_keys,url,get_sorted_query_param_names,True,True,True,56.436,7.846,1,
11,2,agent_demo_01_text_reverse,string,reverse_text,True,True,True,36.868,4.98,1,
12,2,agent_demo_02_vowel_count,string,count_vowels,True,True,True,26.27,5.112,1,
13,2,agent_demo_03_sort_numbers,list,sort_numbers_ascending,True,True,True,49.095,5.138,1,
14,2,agent_demo_04_deduplicate,list,deduplicate,True,True,True,104.851,42.202,2,runtime
15,2,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score,True,True,True,60.243,12.003,1,
16,2,agent_demo_06_csv_text,csv_text,filter_csv_and_join_column,True,True,True,82.849,13.133,1,
17,2,agent_demo_07_jsonl_sum,jsonl,sum_json_lines_field,True,True,False,56.043,150.995,1,
18,2,agent_demo_08_moving_average,moving_average,compute_moving_average,True,True,True,46.43,8.204,1,
19,2,agent_demo_09_category_aggregation,category_aggregation,sum_amounts_by_category,True,True,True,82.948,21.116,1,
20,2,agent_demo_10_url_query_keys,url,sorted_query_param_names,True,True,True,47.534,9.009,1,
21,3,agent_demo_01_text_reverse,string,reverse_text,True,True,True,26.218,4.189,1,
22,3,agent_demo_02_vowel_count,string,count_vowels,True,True,True,26.216,5.744,1,
23,3,agent_demo_03_sort_numbers,list,sort_numbers_ascending,True,True,True,41.356,8.052,1,
24,3,agent_demo_04_deduplicate,list,deduplicate_list_preserve_first,True,True,True,43.876,9.948,1,
25,3,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,True,True,True,65.607,16.232,1,
26,3,agent_demo_06_csv_text,csv_text,join_names_above_threshold,True,False,True,71.132,16.533,1,
27,3,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,True,True,True,70.165,58.328,1,
28,3,agent_demo_08_moving_average,moving_average,moving_average,True,True,True,59.19,8.213,1,
29,3,agent_demo_09_category_aggregation,category_aggregation,sum_by_category,True,True,True,58.08,13.799,1,
30,3,agent_demo_10_url_query_keys,url,get_sorted_query_param_names,True,True,True,134.964,4.987,2,runtime
31,4,agent_demo_01_text_reverse,string,reverse_text,True,True,True,34.002,11.585,1,
32,4,agent_demo_02_vowel_count,string,count_vowels,True,True,True,47.902,9.317,1,
33,4,agent_demo_03_sort_numbers,list,sort_numbers_ascending,True,True,True,38.323,9.956,1,
34,4,agent_demo_04_deduplicate,list,remove_duplicates_preserve_order,True,True,False,49.99,149.799,1,
35,4,agent_demo_05_json_rows_filter,json_rows,filter_names_by_threshold,True,True,True,58.243,8.722,1,
36,4,agent_demo_06_csv_text,csv_text,filter_csv_names_by_score,True,False,False,84.751,85.243,1,
37,4,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,True,False,True,62.001,23.487,1,
38,4,agent_demo_08_moving_average,moving_average,compute_moving_average,True,True,True,51.385,8.146,1,
39,4,agent_demo_09_category_aggregation,category_aggregation,total_amounts_by_category,True,True,True,78.971,7.414,1,
40,4,agent_demo_10_url_query_keys,url,sorted_url_query_keys,True,True,True,48.716,4.771,1,
41,5,agent_demo_01_text_reverse,string,reverse_string,True,True,True,41.565,4.463,1,
42,5,agent_demo_02_vowel_count,string,count_vowels,True,True,True,32.2,5.547,1,
43,5,agent_demo_03_sort_numbers,list,sort_numbers_ascending,True,True,True,52.279,10.717,1,
44,5,agent_demo_04_deduplicate,list,remove_duplicates_preserve_order,True,True,True,52.781,51.65,1,
45,5,agent_demo_05_json_rows_filter,json_rows,filter_names_by_score_threshold,True,True,True,65.628,8.889,1,
46,5,agent_demo_06_csv_text,csv_text,parse_csv_and_join_matching_names,True,True,True,342.641,10.016,4,runtime
47,5,agent_demo_07_jsonl_sum,jsonl,sum_jsonl_field,True,True,True,60.004,27.723,1,
48,5,agent_demo_08_moving_average,moving_average,moving_average,True,True,True,84.077,11.975,1,
49,5,agent_demo_09_category_aggregation,category_aggregation,sum_by_group,True,True,True,133.323,11.744,2,runtime
50,5,agent_demo_10_url_query_keys,url,sorted_query_param_names,True,True,True,71.324,5.868,1,
